time,action,url,title,space
2026-07-22T08:28:25.789Z,opened,http://youtube.com,http://youtube.com,spaces/vault.md
2026-07-22T08:31:02.528Z,closed,http://localhost:4748/note/history.csv,flow-md,spaces/vault.md
2026-07-22T08:33:55.988Z,closed,https://www.youtube.com/,YouTube,spaces/vault.md
2026-07-22T08:34:04.459Z,closed,https://news.ycombinator.com/item?id=48981620,Jelly UI: Soft-body physics for native HTML form controls | Hacker News,spaces/vault.md
2026-07-22T08:41:13.416Z,opened,https://lazy.so/,https://lazy.so/,spaces/vault.md
2026-07-22T09:28:30.818Z,opened,https://news.ycombinator.com/item?id=49001127,https://news.ycombinator.com/item?id=49001127,spaces/vault.md
2026-07-22T09:28:37.843Z,opened,https://late.sh/,https://late.sh/,spaces/vault.md
2026-07-22T09:40:44.761Z,opened,https://news.ycombinator.com/item?id=49003386,https://news.ycombinator.com/item?id=49003386,spaces/vault.md
2026-07-22T09:40:50.720Z,opened,https://codeberg.org/Codeberg/org/pulls/1253#issuecomment-19820434,https://codeberg.org/Codeberg/org/pulls/1253#issuecomment-19820434,spaces/vault.md
2026-07-22T09:41:13.954Z,closed,https://codeberg.org/Codeberg/org/pulls/1253#issuecomment-19820434,#1253 - Proposal Assembly 2026: ToU extension to prohibit LLM-extrusions - Codeberg/org - Codeberg.org,spaces/vault.md
2026-07-22T09:41:30.170Z,closed,https://news.ycombinator.com/item?id=49003386,Codeberg bans vibe coded projects | Hacker News,spaces/vault.md
2026-07-22T09:42:02.139Z,opened,https://news.ycombinator.com/item?id=48946738,https://news.ycombinator.com/item?id=48946738,spaces/vault.md
2026-07-22T09:42:14.197Z,opened,https://justif.lyall.co/,https://justif.lyall.co/,spaces/vault.md
2026-07-22T09:42:36.681Z,opened,https://github.com/lyallcooper/justif,https://github.com/lyallcooper/justif,spaces/vault.md
2026-07-22T10:02:19.183Z,opened,https://arxiv.org/pdf/1706.03762,https://arxiv.org/pdf/1706.03762,spaces/scratch.md
2026-07-22T10:03:39.845Z,opened,https://arxiv.org/pdf/1706.03762,https://arxiv.org/pdf/1706.03762,spaces/scratch.md
2026-07-22T10:05:16.108Z,opened,https://arxiv.org/pdf/1706.03762,https://arxiv.org/pdf/1706.03762,spaces/scratch.md
2026-07-22T10:05:26.188Z,closed,https://arxiv.org/pdf/1706.03762,https://arxiv.org/pdf/1706.03762,spaces/scratch.md
2026-07-22T10:05:26.685Z,closed,https://arxiv.org/pdf/1706.03762,https://arxiv.org/pdf/1706.03762,spaces/scratch.md
